,CSD_Code,Ligand_Charge,Carbon_state
0,USEPAK,-1,2
1,XOVHIA,-1,2
2,JEGSUK,-1,c
3,TAFRUO,-1,2
4,VESNEM,-1,3
5,PUBFUP,0,c
6,TAFSID,-1,2
7,MUYZUC,-1,2
8,NOXQIC,0,c
9,UNANAY,0,c
10,JUHTUB,0,c
11,APRYMO,-1,2
12,UNANEC,0,c
13,YIRQIC,0,c
14,YAFFAP,-1,2
15,OCUTEN,0,c
16,TIBTUW,0,c
17,XUHCUY,-1,2
18,JITGUR,-1,2
19,LOPYEX,0,c
20,XERNUF,0,c
21,WENWIX,0,c
22,DUCMIX,-1,2
23,COXMOT,0,c
24,NECKUB,-1,2
25,GUSXOH,-1,2
26,YEBVAD,-1,2
27,EYENAX,-1,3
28,ZOMGEN,-1,3
29,SIFQED,-1,2
30,FEJBIF,-1,2
31,ESISUU,-1,2
32,WOLMIT,-1,2
33,MAKJOY,-1,2
34,MAMKAP,0,c
35,VEJDIA,0,c
36,CETZOS,-1,2
37,YOZZIX,-1,2
38,VUCGOQ,0,c
39,PORXEZ,-1,2
40,SAZNUD,-1,2
41,MODVUZ,-1,2
42,ZAYLES,0,2
43,NICBIN,0,2
44,VUJMAP,-1,2
45,HAXJEW,-1,c
46,OMAVIH,-1,2
47,HIVVAJ,-1,2
48,ZALHEC,-1,2
49,FOKVUY,-2,3
50,WEHFOE,-1,3
